tensor(2.5278, device='cuda:0')
tensor(2.2104, device='cuda:0')
tensor(2.3222, device='cuda:0')
tensor(2.6582, device='cuda:0')
tensor(2.3692, device='cuda:0')
tensor(2.5304, device='cuda:0')
tensor(2.5046, device='cuda:0')
tensor(2.5546, device='cuda:0')
tensor(2.5811, device='cuda:0')
tensor(2.6212, device='cuda:0')
tensor(2.3539, device='cuda:0')
tensor(2.2131, device='cuda:0')
tensor(2.3489, device='cuda:0')
tensor(2.3816, device='cuda:0')
tensor(2.5370, device='cuda:0')
tensor(2.4327, device='cuda:0')
tensor(2.3224, device='cuda:0')
tensor(2.3704, device='cuda:0')
tensor(2.4466, device='cuda:0')
tensor(2.4913, device='cuda:0')
tensor(2.5218, device='cuda:0')
tensor(2.7182, device='cuda:0')
tensor(2.5521, device='cuda:0')
tensor(2.4148, device='cuda:0')
tensor(2.2970, device='cuda:0')
tensor(2.4286, device='cuda:0')
tensor(2.3905, device='cuda:0')
tensor(2.1634, device='cuda:0')
tensor(2.3733, device='cuda:0')
tensor(2.4468, device='cuda:0')
tensor(2.4054, device='cuda:0')
tensor(2.2762, device='cuda:0')
tensor(2.2490, device='cuda:0')
tensor(2.4032, device='cuda:0')
tensor(2.3593, device='cuda:0')
tensor(2.4050, device='cuda:0')
tensor(2.3080, device='cuda:0')
tensor(2.2783, device='cuda:0')
tensor(2.2422, device='cuda:0')
tensor(2.2083, device='cuda:0')
tensor(2.5482, device='cuda:0')
tensor(2.2930, device='cuda:0')
tensor(2.4609, device='cuda:0')
tensor(2.3823, device='cuda:0')
tensor(2.2929, device='cuda:0')
tensor(2.5170, device='cuda:0')
tensor(2.2343, device='cuda:0')
tensor(2.6991, device='cuda:0')
tensor(2.3525, device='cuda:0')
tensor(2.4358, device='cuda:0')
tensor(2.4343, device='cuda:0')
tensor(2.2188, device='cuda:0')
tensor(2.3305, device='cuda:0')
tensor(2.5325, device='cuda:0')
tensor(2.4001, device='cuda:0')
tensor(2.3291, device='cuda:0')
tensor(2.3969, device='cuda:0')
tensor(2.3131, device='cuda:0')
tensor(2.3161, device='cuda:0')
tensor(2.1451, device='cuda:0')
tensor(2.3403, device='cuda:0')
tensor(2.3757, device='cuda:0')
tensor(2.4500, device='cuda:0')
tensor(2.2870, device='cuda:0')
tensor(2.2707, device='cuda:0')
tensor(2.2792, device='cuda:0')
tensor(2.4423, device='cuda:0')
